distance_km,elev_norseman_m,elev_hawaii_m
0.0,0.0,0.0
0.5,0.0,0.0
1.0,0.0,0.0
1.5,0.0,0.0
2.0,0.0,0.0
2.5,0.0,0.0
3.0,0.0,0.0
3.5,0.0,0.0
4.0,7.56705468420991,8.429299805109766
4.5,12.559075555163503,5.41323691404961
5.0,19.04003416425359,9.703990255577
5.5,22.782331474729403,12.478257160838734
6.0,28.728765970532198,20.437838233240686
6.5,23.453501941760216,32.34258078583508
7.0,30.68962483635279,43.5608031454333
7.5,30.45302628485651,15.870136924470055
8.0,44.06628532644392,11.524686039381926
8.5,18.3,16.464925857366676
9.0,18.3,22.868797165568633
9.5,18.3,29.272668473770587
10.0,24.979203325284814,38.860482314635796
10.5,31.457957209962327,54.49752295170658
11.0,38.574421189845516,72.3625396631433
11.5,55.58652324318664,69.88334249407059
12.0,69.19547247422474,53.2229152310107
12.5,78.05963352412232,36.26080795247793
13.0,90.54701170781114,30.76894596717232
13.5,108.56878152767904,23.601611979262373
14.0,124.33457988009646,16.306483153775716
14.5,158.33,11.819609115448934
15.0,202.708639517096,21.11594965159179
15.5,242.3500210892034,42.279888035128515
16.0,284.3563406637924,31.338040492253985
16.5,350.4219558909136,21.129815810657693
17.0,392.9515440938422,22.008804804933586
17.5,425.56881850795475,25.667678837753883
18.0,450.7704648137373,28.839339722483878
18.5,476.3694326993218,24.629624266774304
19.0,514.1347506909017,20.419908811064726
19.5,555.525779931289,16.210193355355152
20.0,598.5067697270515,19.569265994582036
20.5,639.1582754253612,23.724824736433053
21.0,661.000190116632,27.622046713358838
21.5,667.3945168734132,26.878784963386355
22.0,692.1134333813035,27.597008817250277
22.5,718.8410228896644,28.3152326711142
23.0,736.5810362228412,29.03345652497812
23.5,742.7347933107816,30.817484432526403
24.0,750.2207288472141,35.51340842612907
24.5,761.2688990161598,37.18424744248217
25.0,771.8264020312268,40.3315447296418
25.5,781.0652973924674,43.47884201680143
26.0,785.5002481536588,44.960985293114774
26.5,780.2555323358501,44.903514901557166
27.0,780.0878882656147,44.84604450999955
27.5,787.0913258564854,44.788574118441936
28.0,799.232044358099,44.73110372688433
28.5,821.7878630972934,44.67363333532671
29.0,841.2400000000001,44.6161629437691
29.5,835.1664803225765,49.78680105072895
30.0,845.3658850419662,51.00383122352068
30.5,874.356275164401,48.93496856686365
